상권_코드_명,상권_코드,기준 년 코드,기준_분기_코드,월_평균_소득_금액,소득_구간_코드,지출_총금액,식료품_지출_총금액,의류_신발_지출_총금액,생활용품_지출_총금액,의료비_지출_총금액,교통_지출_총금액,여가_지출_총금액,문화_지출_총금액,교육_지출_총금액,유흥_지출_총금액
계동길,1000001,2017.6129032258063,2.5483870967741935,3750818.8387096776,7.645161290322581,2926219250.16129,774556165.6451613,353438424.1935484,217837600.4516129,395398730.2903226,487706363.516129,109659686.38709678,87612451.41935484,376594158.0645161,123415670.19354838
고덕로10길,1000968,2017.6129032258063,2.5483870967741935,3535626.290322581,7.225806451612903,11452741755.870968,2916158266.322581,1388737655.516129,822884528.8064516,1434285357.935484,1918159349.0,439789753.32258064,339498086.41935486,1713422633.419355,479806125.12903225
고덕로25길,1000969,2017.6129032258063,2.5483870967741935,3699389.8387096776,7.612903225806452,6031369564.870968,1584371145.2258065,726663078.5806452,429320211.4516129,784081415.8387097,999626787.451613,214559851.19354838,180706645.3548387,853859364.0967742,258181065.67741936
고덕로61길,1000970,2017.6129032258063,2.5483870967741935,4905627.29032258,8.548387096774194,4763998233.451612,1247539876.8709676,568735072.483871,327157463.1935484,613077906.2580645,778890860.6129032,164037703.6451613,139244031.5483871,723616189.0,201699129.83870968
고무래로8길,1000847,2017.6129032258063,2.5483870967741935,6175130.774193549,9.0,8419390003.870968,1823654515.3225806,1061836770.0967742,629079926.967742,948164944.516129,1537407623.096774,398783800.83870965,229605040.19354838,1439809640.419355,351047742.41935486
고산자로6길,1000088,2017.6129032258063,2.5483870967741935,4316361.096774193,8.0,7458617279.870968,1921187902.3225806,913579273.2258065,537149605.5806452,949410206.8064516,1208960001.967742,261525901.6451613,236617044.03225806,1098030985.3548386,332156358.9354839
고척로21나길,1000621,2017.6129032258063,2.5483870967741935,3169226.6774193547,6.612903225806452,7503964135.129032,2124912162.0,881640306.0967742,514245750.9354839,1050169535.0,1174605576.903226,258962664.7419355,226489423.4516129,967236695.7419355,305702020.2580645
고척로27길,1000622,2017.6129032258063,2.5483870967741935,3137024.290322581,6.612903225806452,7361374936.67742,2088798054.7419355,860678668.7741935,498964317.12903225,1026107664.9354838,1134338637.0,252336569.5483871,223406928.5483871,980482170.1612903,296261925.83870965
고척로27다길,1000623,2017.6129032258063,2.5483870967741935,3135106.4838709678,6.612903225806452,7015855541.129032,2028906097.580645,813507457.6451613,470151535.6451613,993152289.7419355,1053427212.548387,235393313.3548387,214579073.7419355,927831513.548387,278907047.32258064
고척로52길,1000624,2017.6129032258063,2.5483870967741935,3200603.580645161,6.612903225806452,6771884109.0,1936746137.516129,792276939.4193548,460467588.87096775,949709580.1612903,1037330181.0,230658056.67741936,204912768.32258064,886535706.8064516,273247150.2258065
곰달래로10길,1000508,2017.6129032258063,2.5483870967741935,2856441.35483871,6.258064516129032,10632739923.096775,2775557341.225806,1292037676.6774194,780927805.8387097,1395224651.516129,1763223116.8709676,431835904.0645161,316441278.2258065,1440417429.0,437074719.67741936
곰달래로25길,1000569,2017.6129032258063,2.5483870967741935,2709844.870967742,6.0,12425942303.612904,2997652824.516129,1513127651.096774,933402097.0967742,1524360587.3548386,2192919078.483871,492304775.5483871,362809283.0,1889544396.387097,519821610.12903225
곰달래로2길,1000509,2017.6129032258063,2.5483870967741935,2771906.806451613,6.161290322580645,7681789072.129032,2127465008.2580645,919814094.7419355,543197063.6129032,1064734290.7096775,1219871559.580645,290880296.38709676,233039563.3548387,969132230.548387,313654964.9354839
곰달래로31길,1000570,2017.6129032258063,2.5483870967741935,2697073.193548387,5.645161290322581,15422137805.741936,3770791700.903226,1862532994.8387096,1124318830.6451614,1903911554.7741935,2700905122.322581,587541390.0967742,450796656.7741935,2379700730.806452,641638824.5806452
곰달래로3길,1000510,2017.6129032258063,2.5483870967741935,2848124.870967742,6.225806451612903,10193013146.419355,2812864829.709677,1223309085.8064516,728458074.8387097,1418993762.3225806,1636383294.6451614,382867863.2258065,309019080.0,1260355016.7096775,420762139.16129035
곰달래로47길,1000571,2017.6129032258063,2.5483870967741935,2776892.5483870967,6.096774193548387,11790490772.161291,2952009510.677419,1419107525.3225806,846132480.548387,1474119111.903226,2017797619.8709676,444301274.4516129,347348113.16129035,1801649478.7741935,488025657.4516129
곰달래로53길,1000572,2017.6129032258063,2.5483870967741935,2780651.6129032257,6.064516129032258,11442078695.35484,2898676841.322581,1378323263.1612904,821988339.548387,1448914636.419355,1949351292.967742,424337313.7096774,339228778.16129035,1704068282.2580645,477189947.8064516
곰달래로5길,1000511,2017.6129032258063,2.5483870967741935,2605699.8387096776,5.612903225806452,10915757095.290323,3011571913.129032,1307742066.096774,783001425.1290323,1515937611.032258,1742534210.8387096,412067156.7741935,330628337.58064514,1363318574.548387,448955800.16129035
곰달래로60길,1000573,2017.6129032258063,2.5483870967741935,3623587.8387096776,7.225806451612903,8163824101.67742,2097012286.419355,988688091.0645162,588463214.548387,1037378884.0645162,1366403698.387097,312827609.483871,243820966.06451613,1189770387.935484,339458963.7096774
공릉로12가길,1000225,2017.6129032258063,2.5483870967741935,3423348.35483871,7.0,4938586514.903226,1324846397.935484,587698772.548387,347351169.38709676,651697096.8709677,788509939.7096775,179453430.61290324,146823748.2580645,710042371.967742,202163587.61290324
공릉로2길,1000226,2017.6129032258063,2.5483870967741935,3356242.4516129033,6.870967741935484,9439852241.419355,2443896213.903226,1142132973.967742,684475014.9032258,1226898649.2580645,1596394503.387097,361603906.9677419,279527272.8064516,1310382605.032258,394541101.1935484
